Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
1544.5,165.995
1545.5,103.953
1546.5,75.2154
1547.5,121.8
1548.5,72.3821
1549.5,57.9633
1550.5,43.6387
1551.5,27.0469
1552.5,4.58078
1553.5,10.8796
1554.5,15.7228
1555.5,26.5843
1556.5,22.7185
1557.5,37.6043
1558.5,69.7926
1559.5,58.8501
1560.5,58.7047
1561.5,63.4392
1562.5,57.9574
1563.5,55.4143
1564.5,71.3198
1565.5,93.9009
1566.5,97.2702
1567.5,89.4671
1568.5,109.334
1569.5,94.1767
1570.5,81.9071
1571.5,102.274
1572.5,164.241
1573.5,211.528
1574.5,165.702
1575.5,156.173
1576.5,193.318
1577.5,190.123
1578.5,245.748
1579.5,250.334
1580.5,250.334
1581.5,250.334
1582.5,250.334
1583.5,246.657
1584.5,243.616
1585.5,245.248
1586.5,203.877
1587.5,153.732
1588.5,158.625
1589.5,136.878
1590.5,62.5229
1591.5,59.3548
1592.5,85.4244
1593.5,67.9313
1594.5,14.927
1595.5,0
